text,word_in_topic_weight,topic
давос,0.5615,4
бран,-0.4011,4
тирион,0.2504,4
сэм,0.2353,4
ходор,-0.2280,4
станнис,0.1548,4
кейтилин,-0.1531,4
робб,-0.1432,4
теон,-0.1327,4
жой,-0.1055,4
бриен,-0.1040,4
мелисандр,0.0884,4
корол,0.0827,4
лювин,-0.0793,4
корабл,0.0692,4
лилл,0.0649,4
салладор,0.0638,4
санс,-0.0615,4
уолдер,-0.0610,4
мир,-0.0593,4
винтерфелл,-0.0588,4
волк,-0.0582,4
был,-0.0580,4
сказа,-0.0577,4
лет,-0.0558,4
нед,-0.0550,4
дракон,0.0516,4
пилос,0.0501,4
акселл,0.0497,4
алейн,-0.0487,4
контрабандист,0.0469,4
родрик,-0.0466,4
кресс,0.0456,4
величеств,0.0455,4
джейм,-0.0445,4
эдмар,-0.0433,4
саа,0.0431,4
рикон,-0.0427,4
дерев,-0.0422,4
крастер,0.0412,4
вонючк,-0.0406,4
королев,0.0397,4
красн,0.0384,4
штормов,0.0379,4
фре,-0.0372,4
нэн,-0.0372,4
эйемон,0.0356,4
флорент,0.0351,4
лиз,-0.0343,4
серсе,0.0339,4
проговор,-0.0337,4
джон,0.0337,4
предел,0.0332,4
ден,-0.0329,4
лес,-0.0329,4
луков,0.0329,4
эдрик,0.0325,4
милед,-0.0323,4
петир,-0.0323,4
имр,0.0317,4
карлик,0.0311,4
кортн,0.0309,4
весл,0.0308,4
борт,0.0307,4
грен,0.0305,4
старк,-0.0304,4
рамс,-0.0302,4
мор,0.0299,4
дева,0.0294,4
брат,-0.0292,4
палуб,0.0292,4
милорд,0.0286,4
сиворт,0.0285,4
рглор,0.0280,4
десниц,0.0277,4
парус,0.0276,4
рид,-0.0274,4
бринд,-0.0271,4
грифф,0.0270,4
сер,-0.0266,4
селис,0.0264,4
команд,0.0263,4
королевск,0.0259,4
лютоволк,-0.0257,4
брон,0.0256,4
свет,0.0251,4
алестер,0.0245,4
болтон,-0.0245,4
дареон,0.0240,4
шторм,0.0238,4
черноводн,0.0236,4
рук,-0.0234,4
слинт,0.0226,4
салл,0.0226,4
грейдж,-0.0224,4
брандон,-0.0223,4
мормонт,0.0222,4
ренл,0.0221,4
глаз,-0.0220,4
владык,0.0220,4
